AIRLINE,IATA_CODE,COUNTRY,ACTIVE
135 Airways,,United States,N
1Time Airline,1T,South Africa,Y
2 Sqn No 1 Elementary Flying Training School,,United Kingdom,N
213 Flight Unit,,Russia,N
223 Flight Unit State Airline,,Russia,N
224th Flight Unit,,Russia,N
247 Jet Ltd,,United Kingdom,N
3D Aviation,,United States,N
40-Mile Air,Q5,United States,Y
4D Air,,Thailand,N
611897 Alberta Limited,,Canada,N
Ansett Australia,AN,Australia,Y
Abacus International,1B,Singapore,Y
Abelag Aviation,W9,Belgium,N
Army Air Corps,,United Kingdom,N
Aero Aviation Centre Ltd.,,Canada,N
Aero Servicios Ejecutivos Internacionales,,Mexico,N
Aero Biniza,,Mexico,N
Aero Albatros,,Spain,N
Aigle Azur,ZI,France,Y
Aloha Airlines,AQ,United States,Y
Alaska Island Air,,United States,N
American Airlines,AA,United States,Y
Aviation Management Corporation,,United States,N
Atlantis Airlines (USA),,United States,N
Aerovista Airlines,,United Arab Emirates,N
Asiana Airlines,OZ,Republic of Korea,Y
Askari Aviation,4K,Pakistan,Y
Australia Asia Airlines,,Australia,N
Astro Air International,,United States,N
Afriqiyah Airways,8U,Libya,Y
Afrinat International Airlines,Q9,Gambia,N
Afric'air Express,,Ivory Coast,N
Allegiant Air,G4,United States,Y
Angus Aviation,,Canada,N
Artem-Avia,,Ukraine,N
African Business and Transportations,,Democratic Republic of the Congo,N
Aban Air,K5,Iran,n
Aerial Oy,,Finland,N
Abakan-Avia,,Russia,N
ABSA - Aerolinhas Brasileiras,M3,Brazil,Y
Abaet,,Brazil,N
Alberta Citylink,,Canada,N
APSA Colombia,,Colombia,N
Aerovias Bueno,,Colombia,N
Aerocenter,,AEROCENTER,N
Antrak Air,4,Ghana,N
Airborne Express,GB,United States,N
ABX Air,GB,United States,N
ATA Brasil,,Brazil,N
Avcard Services,,United Kingdom,N
Academy Airlines,,United States,N
Aero Comondu,,Mexico,N
Astral Aviation,8V,Kenya,Y
Air Cess,,Liberia,N
Air Aurora,,United States,N
Air Cargo Transportation System,,Kenya,N
Air Charter Service,,United Kingdom,N
Aero Asia International,E4,Pakistan,N
Air Charters,,Canada,N
Air Togo,YT,Togo,N
Air Somalia,,Somali Republic,N
Atlas Cargo Lines,,Morocco,N
Airservices Australia,,Australia,N
Advance Leasing Company,4G,United States,N
Aztec Worldwide Airlines,7A,United States,N
Air Tindi,8T,Canadian Territories,Y
Antonov Airlines,,Ukraine,N
Air Atlantic Dominicana,,Dominican Republic,N
Advanced Air Co.,,Japan,N
Ada Air,ZY,Albania,Y
Aerea Flying Training Organization,,Spain,N
Audeli Air,,Spain,N
Abicar,,Ivory Coast,N
ADC Airlines,Z7,Nigeria,N
Aero Dynamics,,United Kingdom,N
Aerolineas Dominicanas,,Dominican Republic,N
Aerodienst GmbH,,Germany,N
Aerodiplomatic,,Mexico,N
Aerodyne,,United States,N
Avion Taxi,,Canada,N
Adria Airways,JP,Slovenia,Y
Aviones de Sonora,,Mexico,N
Air Dorval,,Canada,N
Airdeal Oy,,Finland,N
Advance Air Charters,,Canada,N
Air Andaman,,Thailand,N
Anderson Aviation,,United States,N
Air Europa,UX,Spain,Y
Air Southwest Ltd.,,Canada,N
Air Special,,Czech Republic,N
Aero Benin,EM,Benin,Y
Aerocesar,,AEROCESAR,N
Aerotrans Airlines,,Russia,N
Aegean Airlines,A3,Greece,Y
Aerofumigaciones Sam,,Chile,N
Aeroexpreso Interamericano,,Colombia,N
Air Express,,Tanzania,N
Aerocon,,Bolivia,N
Aero Madrid,,Spain,N
Aeroenlaces Nacionales,,Mexico,N
Aeroservicios Ejecutivos Del Occidente,,Mexico,N
Aerotec,,Spain,N
Air Atlantique,KI,United Kingdom,N
Air Europe,PE,Italy,Y
Air Alma,,Canada,N
Air Express,,Sweden,N
Alaska Central Express,KO,United States,Y
ACES Colombia,,Colombia,Y
Aeronautical Radio of Thailand,,Thailand,N
Astraeus,5W,United Kingdom,Y
Aeroventas,,Mexico,N
Aerosvit Airlines,VV,Ukraine,Y
Airway Express,,United States,N
Air Italy,I9,Italy,Y
Aerial Transit Company,,United States,N
Alfa Air,,Czech Republic,N
American Falcon,WK,Argentina,N
Alliance Airlines,QQ,Australia,Y
Air Universal,,Sierra Leone,N
Auvia Air,,Indonesia,N
African West Air,,Senegal,N
Airfast Indonesia,,Indonesia,N
Ariana Afghan Airlines,FG,Afghanistan,Y
Air Fecteau,,Canada,N
Africaone,,Uganda,N
Alliance,,Uganda,N
Africa Air Links,,Sierra Leone,N
Aeroflot Russian Airlines,SU,Russia,Y
Aero Empresa Mexicana,,Mexico,N
Air Bosna,JA,Bosnia and Herzegovina,Y
Air Bravo,,Uganda,N
Air Brasd'or,,Canada,N
Air 500,,Canada,N
Alba Servizi Aerotrasporti,,Italy,N
Air France,AF,France,Y
Air Partner,,United Kingdom,N
Air Caledonie International,SB,France,Y
Air Caledonia,,Canada,N
Air Guam,,United States,N
Air Gabon,GN,Gabon,N
Air Data,,United Kingdom,N
Air Afrique Vacancies,,Ivory Coast,N
Air Cargo America,,United States,N
Air Salone,2O,Sierra Leone,Y
Air-Angol,,Angola,N
Air Nigeria,,Nigeria,N
Air Cargo Carriers,2Q,United States,Y
Air Samarkand,,Uzbekistan,N
Air Senegal International,V7,Senegal,N
Air Sandy,,Canada,N
Air Namibia,SW,Namibia,Y
Air Intersalonika,,Greece,N
Air Anatolia,,Turkey,N
Air Saigon,,Vietnam,N
Afrique Regional Airways,,Ivory Coast,N
Airfreight Express,,United Kingdom,N
Africa Chartered Services,,Nigeria,N
Africa Freight Services,,Zambia,N
Aeronaves Del Centro,,Venezuela,N
